Action,Quantity,Symbol,SecType,Currency,Exchange,OrderType,LmtPrice,AuxPrice,TimeInForce,Account,OrderRef
SELL,54,NVDA,STK,USD,SMART,LMT,214.00,,DAY,U20889400,Trim25_preEarnings
BUY,200,SMH,STK,USD,SMART,LMT,605.00,,DAY,U20889400,Cover_Short
SELL,12,MU,STK,USD,SMART,LMT,890.00,,DAY,U20889400,Trim25_Parabolic
SELL,10,AMD,STK,USD,SMART,LMT,500.00,,DAY,U20889400,Trim20_Parabolic
SELL,34,BE,STK,USD,SMART,LMT,300.00,,DAY,U20889400,Trim50_OffThesis
SELL,50,AAOI,STK,USD,SMART,LMT,175.00,,DAY,U20889400,Trim50_BENEISH_AVOID
SELL,2,GEV,STK,USD,SMART,LMT,1065.00,,DAY,U20889400,Trim_LockGains
SELL,64,RIOT,STK,USD,SMART,MKT,,,DAY,U20889400,Consolidate_Crypto
SELL,16,HUT,STK,USD,SMART,MKT,,,DAY,U20889400,Consolidate_Crypto
SELL,58,CORZ,STK,USD,SMART,MKT,,,DAY,U20889400,Consolidate_Crypto
BUY,39,COHR,STK,USD,SMART,LMT,382.00,,DAY,U20889400,Add_4Engine_Top
BUY,28,CEG,STK,USD,SMART,LMT,360.00,,DAY,U20889400,SplitEntry_Half
BUY,40,GLW,STK,USD,SMART,LMT,200.00,,DAY,U20889400,Optics_T1
BUY,13,PWR,STK,USD,SMART,LMT,620.00,,DAY,U20889400,Grid_DCA_Half
BUY,25,INTC,STK,USD,SMART,LMT,109.00,,DAY,U20889400,Tactical_AF_HOLD
BUY,35,WDC,STK,USD,SMART,LMT,432.00,,GTC,U20889400,Pullback_5pct
BUY,60,ARM,STK,USD,SMART,LMT,204.00,,GTC,U20889400,Pullback_5pct
BUY,45,CEG,STK,USD,SMART,LMT,338.00,,GTC,U20889400,SplitEntry_Second
BUY,20,MSFT,STK,USD,SMART,LMT,400.00,,GTC,U20889400,MAG7_Gap
BUY,8,VST,STK,USD,SMART,LMT,145.00,,GTC,U20889400,Add_OnPullback
